gen,t_spin_mean,t_spin_max,diversity,h_anchor_mean,h_anchor_max,h_guard_mean,h_guard_max
86,3.46694,4.19527,0.0627255,1.01953,1.01953,1.01953,1.01953
87,3.625,4.22156,0.0566066,5,5,5,5
88,3.73258,4.24627,0.0584841,4.54812,4.75,4.54468,4.75
89,3.74742,4.26433,0.0559543,4.2501,4.5125,4.24784,4.5125
90,3.7494,4.28751,0.0520483,4.04921,4.28688,4.04675,4.28688
91,3.75438,4.3129,0.0571429,3.84398,4.07253,3.8412,4.07253
92,3.75994,4.27969,0.054223,3.64233,3.8689,3.6401,3.8689
93,3.76182,4.26529,0.0547829,3.46979,3.67546,3.46762,3.67546
94,3.76558,4.31611,0.0563586,3.2939,3.49169,3.29141,3.49169
95,3.76589,4.27888,0.0546553,3.12582,3.3171,3.1237,3.3171
96,3.77137,4.29377,0.0595613,2.95424,3.15125,2.9518,3.15125
97,3.77218,4.28304,0.054622,2.81361,2.99368,2.81127,2.99368
98,3.7573,4.27654,0.0593512,2.67765,2.844,2.6757,2.844
99,3.7633,4.28722,0.0547274,2.54294,2.7018,2.54113,2.7018
100,3.76844,4.30653,0.056216,2.42181,2.56671,2.42012,2.56671
101,3.76729,4.32605,0.0541702,2.30129,2.43837,2.2993,2.43837
102,3.74666,4.32256,0.0547031,2.18738,2.31646,2.18594,2.31646
103,3.76974,4.3006,0.0569503,2.07603,2.20063,2.07453,2.20063
104,3.76762,4.3134,0.0570562,1.96509,2.0906,1.96332,2.0906
105,3.76551,4.28795,0.054974,1.86427,1.98607,1.86275,1.98607
106,3.7763,4.28033,0.0523944,1.77171,1.88677,1.77018,1.88677
107,3.76368,4.28075,0.0522479,1.68489,1.79243,1.68359,1.79243
108,3.72525,4.25374,0.0546165,1.60162,1.70281,1.60025,1.70281
109,3.75283,4.26442,0.0571314,1.52701,1.61767,1.52578,1.61767
110,3.7605,4.27297,0.0564183,1.44388,1.53678,1.4428,1.53678
111,3.75263,4.26612,0.0571308,1.37659,1.45995,1.37551,1.45995
112,3.73817,4.26882,0.0559783,1.30559,1.38695,1.30463,1.38695
113,3.75967,4.27179,0.054494,1.2376,1.3176,1.23658,1.3176
114,3.76163,4.28633,0.0575444,1.17427,1.25172,1.17363,1.25172
115,3.75605,4.26665,0.0545277,1.12107,1.18913,1.12034,1.18913
116,3.75854,4.31001,0.0546244,1.06608,1.12968,1.06535,1.12968
117,3.76227,4.28385,0.0542036,1.02217,1.07319,1.02168,1.07319
118,3.76871,4.33657,0.0588098,1.01953,1.01953,1.01953,1.01953
119,3.79529,4.33657,0.0578624,5,5,5,5
120,3.83607,4.35123,0.0519214,4.54812,4.75,4.54547,4.75
121,3.8512,4.36508,0.0556308,4.25653,4.5125,4.25415,4.5125
122,3.84995,4.36382,0.0551438,4.03557,4.28688,4.03349,4.28688
123,3.84695,4.37293,0.0572923,3.84849,4.07253,3.84669,4.07253
124,3.85684,4.37301,0.0551624,3.64276,3.8689,3.64082,3.8689
125,3.86223,4.37713,0.0576685,3.45587,3.67546,3.45387,3.67546
126,3.83415,4.39626,0.053421,3.28926,3.49169,3.28678,3.49169
127,3.85783,4.3739,0.0557298,3.12853,3.3171,3.12684,3.3171
128,3.85643,4.41089,0.0545129,2.96348,3.15125,2.96192,3.15125
129,3.85971,4.40237,0.0510472,2.81733,2.99368,2.81607,2.99368
130,3.86637,4.3956,0.0537446,2.67125,2.844,2.66979,2.844
131,3.85309,4.40899,0.0560684,2.55003,2.7018,2.54875,2.7018
132,3.86484,4.36098,0.0513108,2.41273,2.56671,2.41175,2.56671
133,3.85624,4.36006,0.0537671,2.29463,2.43837,2.29334,2.43837
134,3.86468,4.38297,0.0569393,2.17904,2.31646,2.17781,2.31646
135,3.85394,4.38724,0.0561087,2.07001,2.20063,2.06884,2.20063
136,3.85426,4.37864,0.0552851,1.96551,2.0906,1.96437,2.0906
137,3.82906,4.40791,0.0555554,1.87091,1.98607,1.86985,1.98607
138,3.86835,4.39096,0.0585696,1.77682,1.88677,1.77589,1.88677
139,3.80152,4.38653,0.0545459,1.68282,1.79243,1.68175,1.79243
140,3.84863,4.37952,0.0559309,1.60061,1.70281,1.59987,1.70281
141,3.84933,4.3602,0.0554176,1.52461,1.61767,1.52375,1.61767
142,3.8612,4.38998,0.0580959,1.4473,1.53678,1.44671,1.53678
143,3.86157,4.37164,0.053595,1.36998,1.45995,1.36923,1.45995
144,3.86271,4.37915,0.0590166,1.30694,1.38695,1.30626,1.38695
145,3.86254,4.39402,0.055452,1.24274,1.3176,1.24215,1.3176
146,3.86527,4.37572,0.054342,1.18011,1.25172,1.17949,1.25172
147,3.85717,4.40639,0.0541303,1.11824,1.18913,1.11768,1.18913
148,3.86107,4.36895,0.0544329,1.05937,1.12968,1.05886,1.12968
149,3.85533,4.38145,0.0556637,1.02115,1.07319,1.02078,1.07319
150,3.85726,4.38544,0.0523425,1.01953,1.01953,1.01953,1.01953
151,3.89938,4.4097,0.053008,5,5,5,5
152,3.91639,4.43761,0.0520222,4.54812,4.75,4.54621,4.75
153,3.93396,4.44377,0.0590428,4.25224,4.5125,4.25028,4.5125
154,3.90238,4.46515,0.0555888,4.02905,4.28688,4.0271,4.28688
155,3.89631,4.45043,0.0543194,3.8382,4.07253,3.83642,4.07253
156,3.93562,4.43463,0.0555061,3.64546,3.8689,3.64382,3.8689
157,3.92896,4.46593,0.0544388,3.45438,3.67546,3.45273,3.67546
158,3.87414,4.44732,0.0563358,3.30073,3.49169,3.29913,3.49169
159,3.93247,4.45418,0.0548464,3.13593,3.3171,3.13455,3.3171
160,3.92495,4.47437,0.0579965,2.97017,3.15125,2.96875,3.15125
161,3.92736,4.46254,0.0597432,2.82081,2.99368,2.81936,2.99368
162,3.94269,4.45196,0.056066,2.67699,2.844,2.67561,2.844
163,3.9343,4.47071,0.0551712,2.54159,2.7018,2.54054,2.7018
164,3.93057,4.45839,0.0487515,2.41436,2.56671,2.41333,2.56671
165,3.93141,4.45265,0.0534914,2.29247,2.43837,2.2915,2.43837
166,3.93278,4.46378,0.055233,2.17664,2.31646,2.17562,2.31646
167,3.93482,4.45604,0.0566878,2.07083,2.20063,2.06998,2.20063
168,3.89586,4.46261,0.0596896,1.96956,2.0906,1.96871,2.0906
169,3.92093,4.44779,0.0577553,1.86847,1.98607,1.86763,1.98607
170,3.92789,4.44572,0.0567274,1.7739,1.88677,1.77304,1.88677
171,3.9332,4.4693,0.05204,1.6851,1.79243,1.68433,1.79243
172,3.92946,4.45099,0.0562457,1.6073,1.70281,1.60655,1.70281
173,3.90089,4.45712,0.0530957,1.51987,1.61767,1.51918,1.61767
