exp_id,seed,k_eval,gen,id,t_spin,h_anchor,h_guard,t_norm,h_norm,diversity,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14
HITL,2,40,1,23,0.00746816,5,5,0.0539378,0.402778,0.236013,0.246679,0.196729,0.282045,0.207956,0.241663,0.228475,0.198759,0.289469,0.27723,0.276168,0.293143,0.150372,0.223818,0.290687,0.170164
HITL,2,40,1,24,0.0162096,5,5,0.126919,0.402778,0.236013,0.186749,0.225759,0.251763,0.199914,0.195955,0.26637,0.154928,0.26787,0.214281,0.244351,0.255825,0.16477,0.285577,0.273347,0.206307
HITL,2,40,1,25,0.0154632,5,5,0.120687,0.402778,0.236013,0.179219,0.159421,0.196291,0.256979,0.271977,0.198988,0.183043,0.199109,0.294655,0.164414,0.174328,0.254136,0.170965,0.189994,0.270476
HITL,2,40,1,26,0.0449098,5,5,0.366532,0.402778,0.236013,0.195092,0.239552,0.235922,0.189817,0.18731,0.193451,0.281391,0.152814,0.163745,0.201181,0.183045,0.234429,0.230919,0.224304,0.195113
HITL,2,40,1,27,0.00323466,5,5,0.0185929,0.402778,0.236013,0.226717,0.267934,0.271876,0.229926,0.27095,0.155141,0.17311,0.262228,0.20773,0.197685,0.235801,0.205863,0.286429,0.208046,0.275437
HITL,2,40,1,28,0.0024328,5,5,0.0118984,0.402778,0.236013,0.240265,0.286803,0.222608,0.293777,0.236506,0.154162,0.260831,0.27921,0.164783,0.294516,0.234514,0.261105,0.1836,0.291177,0.246499
HITL,2,40,1,29,0.0121885,5,5,0.0933474,0.402778,0.236013,0.231498,0.294209,0.233545,0.22975,0.156715,0.231958,0.261654,0.20526,0.251899,0.234616,0.181196,0.232022,0.221398,0.200658,0.249395
HITL,2,40,1,30,0.0591849,5,5,0.485712,0.402778,0.236013,0.159173,0.205916,0.215116,0.29608,0.25473,0.243868,0.173392,0.215264,0.205685,0.29106,0.217923,0.278265,0.248042,0.281893,0.1505
HITL,2,40,1,31,0.00597653,5,5,0.0414844,0.402778,0.236013,0.288718,0.292694,0.17324,0.159857,0.197593,0.237833,0.22862,0.215268,0.286902,0.235496,0.290121,0.236423,0.177777,0.297312,0.299775
HITL,2,40,1,32,0.0145633,5,5,0.113174,0.402778,0.236013,0.21697,0.264365,0.245485,0.177787,0.23688,0.248136,0.239061,0.231221,0.238782,0.256349,0.265647,0.163358,0.287024,0.217444,0.254493
HITL,2,40,1,33,0.00713146,5,5,0.0511267,0.402778,0.236013,0.208146,0.157659,0.249546,0.204849,0.232917,0.189988,0.180581,0.194431,0.27628,0.288602,0.296788,0.21215,0.265978,0.175208,0.261638
HITL,2,40,1,34,0.00670044,5,5,0.0475282,0.402778,0.236013,0.213631,0.276614,0.179553,0.272837,0.160849,0.276916,0.213547,0.171111,0.195888,0.256404,0.216943,0.18499,0.185815,0.253976,0.247165
HITL,2,40,1,35,0.0029257,5,5,0.0160135,0.402778,0.236013,0.159589,0.271878,0.171028,0.186085,0.152086,0.225938,0.27764,0.289461,0.219496,0.165412,0.221146,0.193569,0.19641,0.186444,0.293054
HITL,2,40,1,36,0.0159369,5,5,0.124642,0.402778,0.236013,0.209612,0.150536,0.224289,0.25503,0.272291,0.263008,0.255324,0.179714,0.202516,0.218921,0.170544,0.214107,0.165223,0.163088,0.275428
HITL,2,40,1,37,0.0160567,5,5,0.125642,0.402778,0.236013,0.175342,0.22093,0.243737,0.290845,0.195948,0.177168,0.281313,0.195538,0.191648,0.172519,0.216702,0.184721,0.203829,0.200047,0.243733
HITL,2,40,1,38,0.00581257,5,5,0.0401156,0.402778,0.236013,0.216855,0.251692,0.195129,0.198357,0.299742,0.185741,0.264429,0.254938,0.247176,0.168234,0.150836,0.261833,0.162454,0.186408,0.298384
HITL,2,40,1,39,0.00416118,5,5,0.0263283,0.402778,0.236013,0.294917,0.288199,0.23749,0.218435,0.219351,0.200961,0.295103,0.272397,0.298789,0.195132,0.236978,0.25231,0.207544,0.237627,0.179478
HITL,2,40,1,40,0.0149119,5,5,0.116084,0.402778,0.236013,0.19708,0.170242,0.246417,0.200121,0.213725,0.207085,0.157912,0.284378,0.259121,0.198605,0.284805,0.251343,0.298751,0.219482,0.166441
HITL,2,40,1,41,0.00491439,5,5,0.0326168,0.402778,0.236013,0.16824,0.261971,0.236812,0.182521,0.232139,0.229471,0.278666,0.157961,0.166958,0.21639,0.170913,0.298311,0.179738,0.242945,0.216549
HITL,2,40,1,42,0.00405417,5,5,0.025435,0.402778,0.236013,0.267251,0.157894,0.198659,0.220466,0.167045,0.246177,0.230132,0.274021,0.216343,0.194253,0.197384,0.185348,0.289948,0.269807,0.201519
HITL,2,40,1,43,0.00824883,5,5,0.0604555,0.402778,0.236013,0.217475,0.165166,0.238407,0.259336,0.184193,0.216302,0.251227,0.216397,0.232582,0.179227,0.26925,0.166442,0.220607,0.193667,0.165808
HITL,2,40,1,44,0.010863,5,5,0.0822811,0.402778,0.236013,0.278331,0.180029,0.22039,0.241914,0.190442,0.22195,0.22957,0.216723,0.204474,0.188403,0.285926,0.226422,0.255201,0.230102,0.192909
HITL,2,40,1,45,0.00694398,5,5,0.0495615,0.402778,0.236013,0.221797,0.273482,0.281399,0.291119,0.182387,0.201782,0.167842,0.298238,0.244652,0.255731,0.214611,0.186533,0.208084,0.193303,0.229861
HITL,2,40,1,46,0.0152084,5,5,0.11856,0.402778,0.236013,0.272433,0.274768,0.192933,0.176637,0.258469,0.212554,0.177293,0.240652,0.16688,0.164328,0.151808,0.181063,0.221851,0.174346,0.160303
HITL,2,40,1,47,0.00339543,5,5,0.0199352,0.402778,0.236013,0.223877,0.285472,0.151725,0.184212,0.285198,0.245136,0.274571,0.286396,0.182812,0.26093,0.189152,0.290765,0.293572,0.174032,0.271838
HITL,2,40,1,48,0.0243275,5,5,0.194694,0.402778,0.236013,0.157069,0.23991,0.222289,0.239937,0.263988,0.280504,0.225453,0.161049,0.287065,0.159117,0.269171,0.168186,0.285395,0.245166,0.196526
HITL,2,40,1,49,0.00545,5,5,0.0370884,0.402778,0.236013,0.279772,0.177059,0.182335,0.198884,0.212075,0.182801,0.287957,0.216062,0.292774,0.187988,0.220283,0.27024,0.2984,0.217461,0.220501
HITL,2,40,1,50,0.00242571,5,5,0.0118391,0.402778,0.236013,0.2911,0.21483,0.216067,0.292972,0.224533,0.168935,0.291218,0.225221,0.204106,0.285105,0.152571,0.292144,0.163126,0.161325,0.291339
HITL,2,40,1,51,0.0202996,5,5,0.161065,0.402778,0.236013,0.221695,0.176956,0.29734,0.200282,0.291201,0.218924,0.20519,0.236,0.286578,0.297013,0.254359,0.205246,0.279539,0.288648,0.231438
HITL,2,40,1,52,0.00951737,5,5,0.0710463,0.402778,0.236013,0.256733,0.280725,0.252672,0.247565,0.207108,0.240061,0.186477,0.167982,0.18878,0.216936,0.201685,0.255297,0.207379,0.225729,0.193628
HITL,2,40,1,53,0.120785,5,5,1,0.402778,0.236013,0.163354,0.257519,0.183617,0.219816,0.239093,0.250893,0.212211,0.191865,0.283917,0.246641,0.187204,0.265214,0.230521,0.212965,0.164609
HITL,2,40,1,54,0.0213672,5,5,0.169978,0.402778,0.236013,0.183324,0.165814,0.254584,0.262145,0.215362,0.158144,0.17549,0.291736,0.283787,0.209739,0.171215,0.216521,0.215028,0.152931,0.257849
HITL,2,40,1,55,0.0174863,5,5,0.137578,0.402778,0.236013,0.248616,0.237988,0.271041,0.273123,0.182122,0.160539,0.205316,0.282194,0.266328,0.188305,0.260018,0.235,0.191474,0.258097,0.192532
HITL,2,40,1,56,0.00876003,5,5,0.0647234,0.402778,0.236013,0.201235,0.180364,0.233679,0.217252,0.244847,0.151577,0.21086,0.155633,0.195758,0.16294,0.231831,0.288067,0.278153,0.223688,0.201628
HITL,2,40,1,57,0.0159139,5,5,0.12445,0.402778,0.236013,0.150331,0.246692,0.198304,0.20865,0.243328,0.177676,0.23417,0.217461,0.206482,0.275666,0.259664,0.173721,0.286744,0.150289,0.186477
HITL,2,40,1,58,0.0816512,5,5,0.67328,0.402778,0.236013,0.170561,0.201206,0.172198,0.192176,0.210068,0.221008,0.190477,0.160197,0.231084,0.245008,0.248392,0.154302,0.165879,0.25024,0.165386
HITL,2,40,1,59,0.00403448,5,5,0.0252705,0.402778,0.236013,0.159989,0.217753,0.204711,0.251001,0.156047,0.183797,0.192778,0.19879,0.15119,0.232632,0.15195,0.195085,0.286474,0.173729,0.245754
HITL,2,40,1,60,0.00566512,5,5,0.0388845,0.402778,0.236013,0.218481,0.28874,0.216104,0.180398,0.299349,0.258592,0.169451,0.229231,0.195938,0.282287,0.174143,0.246584,0.293637,0.286324,0.285074
HITL,2,40,1,61,0.0104841,5,5,0.0791172,0.402778,0.236013,0.249538,0.195457,0.161235,0.175778,0.284039,0.256186,0.165654,0.295805,0.226484,0.175771,0.221941,0.209877,0.182082,0.244941,0.228914
