exp_id,seed,k_eval,gen,id,t_spin,h_score,t_norm,h_norm,diversity,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19
noHITL,1,0,1,20,0.00987828,,0.653772,0,0.547243,0.38783,0.341188,0.109697,0.312816,0.2395,0.384265,0.16643,0.180122,0.124442,0.228586,0.132706,0.290136,0.340889,0.30904,0.329863,0.202736,0.353755,0.228631,0.347203,0.287949
noHITL,1,0,1,21,0.00613391,,0.160327,0,0.547243,0.143027,0.123516,0.1055,0.120017,0.237575,0.134003,0.108335,0.326458,0.218455,0.324082,0.235721,0.235026,0.243422,0.242201,0.340949,0.220718,0.371406,0.111118,0.332162,0.137692
noHITL,1,0,1,22,0.0117948,,0.90634,0,0.547243,0.285554,0.103109,0.261588,0.100905,0.385358,0.371621,0.33879,0.374582,0.143667,0.147319,0.15629,0.286749,0.371743,0.396987,0.313337,0.31954,0.372788,0.220262,0.174955,0.152029
noHITL,1,0,1,23,0.00924529,,0.570354,0,0.547243,0.135837,0.343783,0.144038,0.179289,0.345727,0.193176,0.394725,0.179992,0.260096,0.19434,0.373232,0.209967,0.230078,0.253688,0.381666,0.109285,0.315064,0.367306,0.108186,0.256615
noHITL,1,0,1,24,0.0120329,,0.937712,0,0.547243,0.197797,0.357847,0.267555,0.307068,0.235856,0.288493,0.187029,0.102805,0.273027,0.193433,0.25518,0.374922,0.227942,0.174219,0.211388,0.379558,0.381061,0.353299,0.376062,0.16837
noHITL,1,0,1,25,0.00609283,,0.154913,0,0.547243,0.126245,0.168193,0.194313,0.15243,0.282128,0.224076,0.344905,0.155539,0.310563,0.172107,0.272266,0.204696,0.117089,0.168644,0.299231,0.249175,0.255705,0.152416,0.271215,0.399026
noHITL,1,0,1,26,0.0108829,,0.78617,0,0.547243,0.345051,0.278312,0.392797,0.370469,0.278682,0.109728,0.128073,0.119612,0.23552,0.21263,0.392605,0.150395,0.391836,0.330242,0.347271,0.289785,0.30062,0.243065,0.103941,0.205902
noHITL,1,0,1,27,0.0077939,,0.379085,0,0.547243,0.247622,0.319027,0.240589,0.237221,0.141299,0.103267,0.327483,0.195986,0.395315,0.16607,0.201612,0.257169,0.326467,0.239157,0.137447,0.19375,0.251356,0.302155,0.331045,0.139101
noHITL,1,0,1,28,0.0111721,,0.824275,0,0.547243,0.106875,0.255725,0.342997,0.103781,0.301741,0.306042,0.234774,0.374437,0.293308,0.101572,0.245329,0.357795,0.34912,0.294746,0.30211,0.27355,0.182236,0.268159,0.301519,0.205729
noHITL,1,0,1,29,0.00738745,,0.325522,0,0.547243,0.356749,0.158511,0.324196,0.186881,0.33214,0.228321,0.34231,0.20606,0.164108,0.330185,0.192593,0.319974,0.323342,0.166419,0.164234,0.159684,0.142756,0.213125,0.107988,0.133276
